Network|Station|Latitude|Longitude|Elevation|Sitename|StartTime|EndTime
NP|8038|61.21838|-149.88272|32.0|Fire Station No 1|2002-09-04T18:00:00|2599-12-31T23:59:59
NP|8039|61.1416|-149.9512|26.0|Anchorage, New FS 7|2002-09-04T18:00:00|2599-12-31T23:59:59
NP|8040|61.21349|-149.89328|32.0|Robert B Atwood Bldg|2003-09-05T18:00:00|2599-12-31T23:59:59
NP|8041|61.19438|-149.94711|21.0|Turnagain Elemetary School|2005-09-30T18:00:00|2599-12-31T23:59:59
NP|8042|61.18761|-149.88374|31.0|Frontier Building|2007-03-01T18:00:00|2599-12-31T23:59:59
NP|8043|61.22176|-149.88472|4.0|Port Access Bridge|2007-06-22T18:00:00|2599-12-31T23:59:59
NP|8045|61.23323|-149.74394|69.0|VAMC|2010-11-11T18:00:00|2599-12-31T23:59:59
NP|8046|61.23385|-149.74347|68.0|VAMC, Freefield|2010-11-11T18:00:00|2599-12-31T23:59:59
NP|8047|61.18853|-149.80197|63.0|USGS Earthquake Science Center|2010-11-11T18:00:00|2599-12-31T23:59:59
NP|8049|57.79129|-152.40592|17.0|Fire Department HQ|2011-02-28T18:00:00|2599-12-31T23:59:59
NP|8050|57.74083|-152.50438|13.0|USCG Air Station; Admin Bldg|2011-10-20T18:00:00|2599-12-31T23:59:59
NP|8051|57.73717|-152.50377|7.0|USCG Air Station; Hanger #1|2011-10-20T18:00:00|2599-12-31T23:59:59
NP|8052|60.10265|-149.437927|13.0|6th avenue, Seward, AK|2013-11-13T00:00:00|2599-12-31T23:59:59
NP|ABBK|61.113827|-149.715637|418.0|Woodbourne Dr, Anchorage, AK|2011-10-03T00:00:00|2599-12-31T23:59:59
NP|AHOU|61.63203|-149.796814|84.0|City Hall, Houston, AK|2010-12-02T00:00:00|2599-12-31T23:59:59
NP|ALUK|61.102882|-149.815613|96.0|Akula Dr, Anchorage, AK|2011-08-10T00:00:00|2599-12-31T23:59:59
